Address,City,State,Zipcode,Price
4611 Marshall Street,Hanover,MD,21076,18000
437 Kooter Lane,Charlotte,NC,28202,20000
2895 Pinewood Drive,Schaumburg,IL,60173,54000
2665 Middlevilee Road,Santa Fe Spring,CA,90670,78800
1906 Linda Street,Horsham,PA,19044,13499
4612 Marshall Street,Hanover,MD,21076,25000
438 Kooter Lane,Charlotte,NC,28202,48000
2896 Pinewood Drive,Schaumburg,IL,60173,21400
2666 Middlevilee Road,Santa Fe Spring,CA,90670,35460
1907 Linda Street,Horsham,PA,19044,26022
4613 Marshall Street,Hanover,MD,21076,45200
439 Kooter Lane,Charlotte,NC,28202,35300
2897 Pinewood Drive,Schaumburg,IL,60173,48400
2667 Middlevilee Road,Santa Fe Spring,CA,90670,26750
1908 Linda Street,Horsham,PA,19044,15600
4614 Marshall Street,Hanover,MD,21076,23300
440 Kooter Lane,Charlotte,NC,28202,75700
2898 Pinewood Drive,Schaumburg,IL,60173,49400
2668 Middlevilee Road,Santa Fe Spring,CA,90670,84100
1909 Linda Street,Horsham,PA,19044,67200